"filename", "language", "YAML", "JSON", "C++", "CMake", "Swift", "Markdown", "XML", "Dart", "Properties", "HTML", "comment", "blank", "total"
"d:\mini Apps\demo_proj\README.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 7, 22
"d:\mini Apps\demo_proj\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\mini Apps\demo_proj\android\app\google-services.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"d:\mini Apps\demo_proj\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"d:\mini Apps\demo_proj\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 11, 1, 46
"d:\mini Apps\demo_proj\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\mini Apps\demo_proj\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\mini Apps\demo_proj\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\mini Apps\demo_proj\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\mini Apps\demo_proj\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"d:\mini Apps\demo_proj\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\mini Apps\demo_proj\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\mini Apps\demo_proj\assets\animations\plant_loading.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\mini Apps\demo_proj\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\mini Apps\demo_proj\firebase.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\mini Apps\demo_proj\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"d:\mini Apps\demo_proj\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\mini Apps\demo_proj\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\mini Apps\demo_proj\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\mini Apps\demo_proj\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"d:\mini Apps\demo_proj\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\mini Apps\demo_proj\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\mini Apps\demo_proj\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\mini Apps\demo_proj\lib\app.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"d:\mini Apps\demo_proj\lib\core\exception\app_exception.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"d:\mini Apps\demo_proj\lib\core\exception\firebase_exception.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 10, 35
"d:\mini Apps\demo_proj\lib\core\exception\network_exception.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"d:\mini Apps\demo_proj\lib\core\services\shared_ref.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\mini Apps\demo_proj\lib\core\utils\enum\auth_status.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\mini Apps\demo_proj\lib\core\utils\flush\app_flushbar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 3, 30
"d:\mini Apps\demo_proj\lib\core\utils\utils\images\app_images.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 1, 8
"d:\mini Apps\demo_proj\lib\features\auth\controller\auth_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 11, 15, 181
"d:\mini Apps\demo_proj\lib\features\auth\controller\controller.onboarding\onBoard_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 3, 13, 59
"d:\mini Apps\demo_proj\lib\features\auth\repository\auth_repo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 9, 10, 59
"d:\mini Apps\demo_proj\lib\features\auth\repository\share_pref_repo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"d:\mini Apps\demo_proj\lib\features\auth\screen\cart\cart_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 13, 179
"d:\mini Apps\demo_proj\lib\features\auth\screen\checkout\check_out_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 17, 185
"d:\mini Apps\demo_proj\lib\features\auth\screen\confirmScreen\orderConfirmationScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 5, 100
"d:\mini Apps\demo_proj\lib\features\auth\screen\detailScreen\product.detail.Screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 4, 164
"d:\mini Apps\demo_proj\lib\features\auth\screen\detailScreen\widgets\info_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 3, 45
"d:\mini Apps\demo_proj\lib\features\auth\screen\forget\forget_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\mini Apps\demo_proj\lib\features\auth\screen\forget\widget\green_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 5, 45
"d:\mini Apps\demo_proj\lib\features\auth\screen\forget\widget\white_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 1, 17, 143
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\controller\category_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 9, 42
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\controller\home_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 5, 9, 57
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\controller\order_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 9, 46
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 1, 12, 188
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\model\categoy_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\model\order_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 3, 61
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\model\product_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 8, 97
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\repository\category_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\repository\order_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\repository\product_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\services\category_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\services\firestore_services.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\services\order_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 2, 5, 54
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\widget\category_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 3, 60
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\widget\product_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 4, 93
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\widget\shimmer_grid.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"d:\mini Apps\demo_proj\lib\features\auth\screen\home\widget\shimmer_product_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 9, 66
"d:\mini Apps\demo_proj\lib\features\auth\screen\login\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\mini Apps\demo_proj\lib\features\auth\screen\login\widget\custom_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 13, 67
"d:\mini Apps\demo_proj\lib\features\auth\screen\login\widget\green_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"d:\mini Apps\demo_proj\lib\features\auth\screen\login\widget\white_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 7, 22, 233
"d:\mini Apps\demo_proj\lib\features\auth\screen\onboarding\onBoard.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 6, 58
"d:\mini Apps\demo_proj\lib\features\auth\screen\onboarding\widget\next_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 4, 68
"d:\mini Apps\demo_proj\lib\features\auth\screen\onboarding\widget\onBoard.page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
